data	data	380176	300320	1.25487e+06	1.49384e+06	485708	319204	230324	204324	281412	172876	351444	132308	139044	123460	473288	647068	384464	457300	527212	565548	142404	524896	480488	586064	404096	448588	225584	151572	224716	190228	29036	23276	443612	272800	475064	558724	263060	307408	580184	497348	831016	930596	625464	650476	255716	458632	636824	768836	462172	658172	849884	752564	532852	507376	511968	154936	168764	56724	743004	814080	371540	419364	550712	500844	298608	226728	109660	136116	155208	189708	1.00763e+06	882008	223240	133052	902292	1.01514e+06	1.05968e+06	983084	270736	401104	1.17644e+06	1.12693e+06	60300	47924	267036	306388	465512	535052	670760	399820	389288	464840	500208	296044	498108	547628	260376	421228	275620	227076	701292	433744	805824	883672	243980	41528	361600	363452	203568	228104	163576	262048	304944	215156	427808	407708	424656	189264	159032	265896	
data	data	AAL2_2001	AAL2_2002	AAL2_2101	AAL2_2102	AAL2_2201	AAL2_2202	AAL2_2301	AAL2_2302	AAL2_2311	AAL2_2312	AAL2_2321	AAL2_2322	AAL2_2331	AAL2_2332	AAL2_2401	AAL2_2402	AAL2_2501	AAL2_2502	AAL2_2601	AAL2_2602	AAL2_2611	AAL2_2612	AAL2_2701	AAL2_2702	AAL2_2801	AAL2_2802	AAL2_2811	AAL2_2812	AAL2_2821	AAL2_2822	AAL2_2831	AAL2_2832	AAL2_3001	AAL2_3002	AAL2_4001	AAL2_4002	AAL2_4011	AAL2_4012	AAL2_4021	AAL2_4022	AAL2_4101	AAL2_4102	AAL2_4111	AAL2_4112	AAL2_4201	AAL2_4202	AAL2_5001	AAL2_5002	AAL2_5011	AAL2_5012	AAL2_5021	AAL2_5022	AAL2_5101	AAL2_5102	AAL2_5201	AAL2_5202	AAL2_5301	AAL2_5302	AAL2_5401	AAL2_5402	AAL2_6001	AAL2_6002	AAL2_6101	AAL2_6102	AAL2_6201	AAL2_6202	AAL2_6211	AAL2_6212	AAL2_6221	AAL2_6222	AAL2_6301	AAL2_6302	AAL2_6401	AAL2_6402	AAL2_7001	AAL2_7002	AAL2_7011	AAL2_7012	AAL2_7021	AAL2_7022	AAL2_7101	AAL2_7102	AAL2_8101	AAL2_8102	AAL2_8111	AAL2_8112	AAL2_8121	AAL2_8122	AAL2_8201	AAL2_8202	AAL2_8211	AAL2_8212	AAL2_8301	AAL2_8302	AAL2_9001	AAL2_9002	AAL2_9011	AAL2_9012	AAL2_9021	AAL2_9022	AAL2_9031	AAL2_9032	AAL2_9041	AAL2_9042	AAL2_9051	AAL2_9052	AAL2_9061	AAL2_9062	AAL2_9071	AAL2_9072	AAL2_9081	AAL2_9082	AAL2_9100	AAL2_9110	AAL2_9120	AAL2_9130	AAL2_9140	AAL2_9150	AAL2_9160	AAL2_9170	
380176	AAL2_2001	0	120	13800	1050	15836	30	15158	10	3512	8	796	0	7816	0	9570	1212	64	128	362	184	8	58	98	96	86	36	16	4	320	34	4	0	2842	4	118	128	50	134	14	14	1528	192	138	114	38	120	50	20	40	6	72	50	62	4	80	0	172	0	94	64	26534	46	878	32	8926	4	5658	0	1204	2	106	54	6018	34	1182	300	10876	356	6332	202	6360	810	494	0	4228	0	1248	94	18166	0	124	82	8780	8	432	198	264	188	244	94	246	86	396	266	128	0	240	130	208	76	64	40	258	70	96	58	222	78	84	220	
300320	AAL2_2002	120	0	112	12308	16	15806	20	10558	42	3284	12	248	6	1106	224	4892	50	66	28	426	2	78	60	198	32	220	16	104	26	144	0	34	24	2374	12	24	282	46	30	28	216	356	124	280	58	166	44	58	36	42	82	138	42	38	30	6	2	4	66	120	112	22574	128	4288	6	8458	0	1678	0	2036	158	272	590	4544	376	2590	178	10682	160	5088	628	14338	2	22	2	376	58	204	22	1858	44	146	32	1130	286	442	202	308	236	1168	278	120	302	866	126	0	364	500	186	310	72	66	2078	770	140	140	468	436	874	1676	
1.25487e+06	AAL2_2101	13800	112	0	37030	66868	1536	19194	124	24096	84	17598	20	3162	18	57566	12034	1956	1728	53302	15126	4266	3034	4458	1222	6482	700	13642	146	2304	114	2686	4	15750	46	17748	20236	9254	3754	3340	924	4792	2202	2656	1064	888	686	4686	732	3280	324	11004	756	4950	200	5564	2	1558	2	2154	660	1814	180	2198	246	904	8	130	0	48	18	6052	1886	534	114	15972	4374	51798	2448	7478	1192	19142	4490	1084	2	1270	42	2848	478	2176	110	1644	670	1752	40	508	294	326	260	754	406	720	198	594	476	158	0	606	298	720	394	138	76	1188	426	326	100	318	228	342	814	
1.49384e+06	AAL2_2102	1050	12308	37030	0	6722	43350	3262	20618	5120	17628	1426	3652	218	2274	14776	71162	6920	8082	28198	60396	5288	23322	7608	6532	6294	6230	2784	6324	428	1752	2	552	3808	4584	18332	34222	4178	10462	1250	2792	2762	7876	1536	4322	802	5720	1312	4024	734	2738	1230	4464	1136	2770	824	108	216	30	1216	2768	622	3388	1438	2636	156	1008	22	710	8	484	2516	3806	992	560	8008	36478	10956	42328	2934	12736	8568	31214	228	190	184	890	1100	4618	932	1926	854	2432	902	920	1324	494	558	382	1184	1530	2086	690	1728	1198	310	0	702	526	1008	832	208	154	1978	1092	976	466	638	424	570	1592	
485708	AAL2_2201	15836	16	66868	6722	0	44	7552	8	20060	20	12600	0	476	4	1976	972	418	414	8954	3968	104	470	462	176	846	126	6612	22	1832	24	3250	0	6906	2	1444	4192	428	778	372	190	1434	702	908	324	192	142	2822	234	1936	122	7364	178	3170	48	4112	0	1272	2	1096	240	954	28	1116	48	602	0	96	0	130	2	922	454	62	16	2336	866	20056	576	1106	342	2002	608	614	0	920	14	1276	110	2092	44	632	182	1584	10	20	18	10	8	120	62	126	24	72	46	16	0	102	34	156	66	26	14	248	60	46	16	18	38	80	186	
319204	AAL2_2202	30	15806	1536	43350	44	0	800	6990	1862	16058	122	3934	12	214	226	1872	82	142	1036	3054	82	810	82	314	56	598	36	3520	62	1372	0	948	508	1518	162	398	108	86	144	106	684	1934	320	922	164	1456	350	1460	114	1136	256	1082	128	1130	72	52	8	8	162	716	18	2754	154	920	26	1024	2	268	0	422	372	264	74	44	1904	7836	1586	8980	352	1964	2384	2374	24	110	4	294	174	960	134	676	204	330	162	408	60	24	44	22	94	138	110	86	66	84	20	0	70	48	148	140	28	12	278	178	124	18	36	44	62	232	
230324	AAL2_2301	15158	20	19194	3262	7552	800	0	188	21256	14	778	2	7416	6	11790	2856	8	8	2164	288	2	4	28	8	26	10	8	4	148	4	0	0	4932	8	978	1002	16	140	6	6	14	26	10	14	16	22	20	4	20	0	30	14	42	0	50	0	26	0	14	4	2278	16	318	16	810	6	1034	0	6	2	60	18	6	6	56	420	1328	98	96	22	74	534	398	2	1868	0	2126	16	2014	2	54	14	636	0	24	6	18	12	10	26	12	4	22	16	2	2	14	18	14	26	0	0	62	22	2	0	10	10	28	52	
204324	AAL2_2302	10	10558	124	20618	8	6990	188	0	236	16910	26	808	2	6922	90	9348	54	56	18	4044	12	70	54	88	48	92	30	38	20	112	2	30	96	4296	32	32	6	2	28	8	134	124	72	124	68	228	84	208	18	152	92	88	20	142	16	4	6	2	34	54	8	898	54	1358	0	2228	0	3332	0	106	126	42	18	6	722	404	314	2056	102	346	1332	238	4	30	0	1830	52	934	36	928	62	140	40	94	20	22	14	20	26	18	24	6	18	22	8	2	28	16	26	44	8	20	68	30	16	8	12	10	16	44	
