data	data	689752	270972	426512	89196	60960	110560	347596	510892	98012	55940	45668	107320	103656	36188	52568	79712	214608	235388	52300	111992	105228	424932	111176	139672	104964	80284	271580	118200	215504	170976	334160	188024	292028	254036	96200	284816	79940	106256	178104	137452	49080	83244	102608	176676	45824	101592	26696	257772	508632	175616	311168	88464	79544	127436	343080	476020	49948	18308	50052	112112	91288	78152	63116	74596	326416	197360	48416	91592	66832	438400	88928	189576	65016	87084	268240	145204	249576	278904	376892	217036	274864	309792	165356	331284	67292	141432	185768	150240	50700	86608	34384	106452	42128	48656	22960	263736	341108	870220	288016	407872	218916	911488	447200	239664	87380	457944	744108	135968	462876	373164	394880	217324	68208	
data	data	HarvardOxford-combined_1	HarvardOxford-combined_2	HarvardOxford-combined_3	HarvardOxford-combined_4	HarvardOxford-combined_5	HarvardOxford-combined_6	HarvardOxford-combined_7	HarvardOxford-combined_8	HarvardOxford-combined_9	HarvardOxford-combined_10	HarvardOxford-combined_11	HarvardOxford-combined_12	HarvardOxford-combined_13	HarvardOxford-combined_14	HarvardOxford-combined_15	HarvardOxford-combined_16	HarvardOxford-combined_17	HarvardOxford-combined_18	HarvardOxford-combined_19	HarvardOxford-combined_20	HarvardOxford-combined_21	HarvardOxford-combined_22	HarvardOxford-combined_23	HarvardOxford-combined_24	HarvardOxford-combined_25	HarvardOxford-combined_26	HarvardOxford-combined_27	HarvardOxford-combined_28	HarvardOxford-combined_29	HarvardOxford-combined_30	HarvardOxford-combined_31	HarvardOxford-combined_32	HarvardOxford-combined_33	HarvardOxford-combined_34	HarvardOxford-combined_35	HarvardOxford-combined_36	HarvardOxford-combined_37	HarvardOxford-combined_38	HarvardOxford-combined_39	HarvardOxford-combined_40	HarvardOxford-combined_41	HarvardOxford-combined_42	HarvardOxford-combined_43	HarvardOxford-combined_44	HarvardOxford-combined_45	HarvardOxford-combined_46	HarvardOxford-combined_47	HarvardOxford-combined_48	HarvardOxford-combined_101	HarvardOxford-combined_102	HarvardOxford-combined_103	HarvardOxford-combined_104	HarvardOxford-combined_105	HarvardOxford-combined_106	HarvardOxford-combined_107	HarvardOxford-combined_108	HarvardOxford-combined_109	HarvardOxford-combined_110	HarvardOxford-combined_111	HarvardOxford-combined_112	HarvardOxford-combined_113	HarvardOxford-combined_114	HarvardOxford-combined_115	HarvardOxford-combined_116	HarvardOxford-combined_117	HarvardOxford-combined_118	HarvardOxford-combined_119	HarvardOxford-combined_120	HarvardOxford-combined_121	HarvardOxford-combined_122	HarvardOxford-combined_123	HarvardOxford-combined_124	HarvardOxford-combined_125	HarvardOxford-combined_126	HarvardOxford-combined_127	HarvardOxford-combined_128	HarvardOxford-combined_129	HarvardOxford-combined_130	HarvardOxford-combined_131	HarvardOxford-combined_132	HarvardOxford-combined_133	HarvardOxford-combined_134	HarvardOxford-combined_135	HarvardOxford-combined_136	HarvardOxford-combined_137	HarvardOxford-combined_138	HarvardOxford-combined_139	HarvardOxford-combined_140	HarvardOxford-combined_141	HarvardOxford-combined_142	HarvardOxford-combined_143	HarvardOxford-combined_144	HarvardOxford-combined_145	HarvardOxford-combined_146	HarvardOxford-combined_147	HarvardOxford-combined_148	HarvardOxford-combined_203	HarvardOxford-combined_204	HarvardOxford-combined_205	HarvardOxford-combined_206	HarvardOxford-combined_207	HarvardOxford-combined_208	HarvardOxford-combined_209	HarvardOxford-combined_210	HarvardOxford-combined_211	HarvardOxford-combined_214	HarvardOxford-combined_215	HarvardOxford-combined_216	HarvardOxford-combined_217	HarvardOxford-combined_218	HarvardOxford-combined_219	HarvardOxford-combined_220	HarvardOxford-combined_221	
689752	HarvardOxford-combined_1	0	15532	19718	9950	7224	742	1416	12742	260	218	58	1154	676	144	202	378	2566	2898	234	432	372	5028	88	2670	5316	38	9854	2882	5742	754	700	1218	19266	1798	772	3810	332	250	528	1498	2220	278	824	4138	114	536	188	7260	24974	382	2774	26	1034	312	244	2404	24	6	16	64	12	318	166	28	482	276	0	2	0	1076	42	472	3794	230	10098	4560	4632	1056	896	662	2972	1616	314	782	398	214	234	456	464	78	74	64	44	48	34	974	3562	8084	3468	3528	960	5396	3704	1494	474	8830	16470	9060	35532	5074	7186	2932	4276	
270972	HarvardOxford-combined_2	15532	0	2202	36	1614	308	732	12408	1404	1046	22	2796	1432	42	120	712	1954	2044	1094	1538	282	2444	148	946	392	6	496	32	42	80	124	634	18884	234	212	1194	22	36	76	1024	3476	6312	5836	9668	3358	3758	70	4854	202	0	30	0	44	28	14	390	2	0	0	0	0	100	2	0	20	12	0	0	0	84	0	118	12	24	144	16	36	40	86	76	90	382	62	132	120	52	12	20	4	0	0	4	0	0	16	124	566	1656	280	240	90	366	1214	250	56	1308	1992	78	10348	266	1614	782	206	
426512	HarvardOxford-combined_3	19718	2202	0	9028	4748	18614	10544	1952	28	92	2	550	652	22	38	150	866	512	104	418	240	428	6	82	110	9032	756	3474	8852	2912	1420	98	670	476	60	240	24	24	136	162	3602	1074	328	304	26	218	12	184	2186	984	12126	808	1280	2834	1620	648	2	0	4	30	10	40	200	14	376	310	2	0	0	518	14	104	154	5364	710	4522	7078	1938	1064	134	536	504	130	314	60	56	132	220	1644	262	12	22	6	4	2	200	712	3540	1650	3068	1210	17002	788	694	80	762	4528	300	8062	14096	894	1430	72	
89196	HarvardOxford-combined_4	9950	36	9028	0	2704	5390	8506	256	2	4	0	20	4	2	2	66	426	116	0	70	126	52	0	8	14	10	26	6	10	2	24	10	34	8	4	10	2	4	2	6	198	4	6	16	2	2	0	26	30	100	162	4	892	1250	46	96	0	0	0	2	0	2	34	0	30	30	0	0	0	64	0	24	2	18	28	8	6	70	56	22	70	62	2	44	24	4	4	4	252	8	2	2	0	0	0	14	266	888	616	408	60	400	154	54	8	306	118	38	382	126	20	58	34	
60960	HarvardOxford-combined_5	7224	1614	4748	2704	0	3704	184	674	30	62	4	282	154	6	38	102	394	234	40	92	46	242	2	18	6	2	22	2	4	2	2	24	1804	6	6	10	0	0	0	14	2206	90	174	414	20	128	2	206	54	4	24	0	20	4	6	22	2	0	0	0	0	2	2	0	4	6	0	0	0	14	0	8	6	0	16	4	2	6	6	6	4	16	2	4	2	0	0	2	6	0	0	2	0	0	0	16	90	126	48	28	10	156	16	8	4	62	96	24	1546	194	22	30	6	
110560	HarvardOxford-combined_6	742	308	18614	5390	3704	0	10236	1920	18	48	0	276	104	2	6	16	116	116	1182	1818	130	36	0	40	14	10	52	6	8	4	22	8	120	22	2	30	14	8	6	12	1948	362	1678	162	28	534	6	94	54	12	62	0	48	66	14	90	0	0	0	0	0	12	6	2	28	6	0	0	0	44	0	18	4	40	62	14	18	66	60	14	44	52	4	44	10	4	6	8	16	0	0	0	0	0	0	20	756	1212	248	112	32	214	128	82	52	252	286	50	408	254	64	172	38	
347596	HarvardOxford-combined_7	1416	732	10544	8506	184	10236	0	1318	6	46	0	572	330	4	36	562	17580	4010	1064	4154	5270	318	32	22	28	2170	120	74	806	1658	538	28	406	188	82	112	26	22	54	34	120	2502	1578	184	58	722	12	48	148	20	270	0	48	58	6564	190	4	0	0	0	0	22	14	4	1106	104	0	0	0	212	0	44	4	528	104	44	850	948	1040	68	64	174	32	152	22	30	42	36	16	2	0	4	0	0	2	58	2040	2270	1174	176	344	24032	312	306	58	4670	8784	842	13480	19848	1698	2164	60	
510892	HarvardOxford-combined_8	12742	12408	1952	256	674	1920	1318	0	9848	232	3494	1208	516	2202	1020	656	598	756	222	318	86	4312	1238	1956	2674	26	4218	308	300	1620	2588	1246	18540	14652	2100	3640	3358	1476	1332	2690	1138	1382	952	14542	398	550	190	6398	930	58	160	0	238	178	260	1294	0	0	10	4	0	168	24	4	306	114	0	0	0	576	6	412	78	98	858	202	250	380	596	408	370	798	198	682	238	100	56	108	10	10	2	10	4	6	10	672	3228	7998	1460	1380	672	5492	2506	800	360	6554	16502	2168	8400	5326	14698	19012	1754	
