,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Ant_L,Cingulate_Ant_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
sub-RID0278,0.1517241379310345,0.11034482758620691,0.2758620689655173,0.24827586206896554,0.1517241379310345,0.1517241379310345,0.12413793103448277,0.1517241379310345,0.12413793103448277,0.1517241379310345,0.11034482758620691,0.08275862068965519,0.11034482758620691,0.12413793103448277,0.11034482758620691,0.13793103448275865,0.11034482758620691,0.09655172413793105,0.09655172413793105,0.09655172413793105,0.04137931034482759,0.11034482758620691,0.13793103448275865,0.13793103448275865,0.11034482758620691,0.12413793103448277,0.08275862068965519,0.08275862068965519,0.055172413793103454,0.08275862068965519,0.027586206896551727,0.04137931034482759,0.13793103448275865,0.12413793103448277,0.12413793103448277,0.11034482758620691,0.08275862068965519,0.09655172413793105,0.12413793103448277,0.11034482758620691,0.11034482758620691,0.12413793103448277,0.11034482758620691,0.09655172413793105,0.06896551724137932,0.11034482758620691,0.09655172413793105,0.13793103448275865,0.11034482758620691,0.16551724137931037,0.11034482758620691,0.11034482758620691,0.11034482758620691,0.1931034482758621,0.17931034482758623,0.11034482758620691,0.06896551724137932,0.08275862068965519,0.11034482758620691,0.17931034482758623,0.17931034482758623,0.16551724137931037,0.13793103448275865,0.22068965517241382,0.17931034482758623,0.1931034482758621,0.12413793103448277,0.13793103448275865,0.1517241379310345,0.16551724137931037,0.1517241379310345,0.1517241379310345,0.055172413793103454,0.04137931034482759,0.11034482758620691,0.11034482758620691,0.13793103448275865,0.17931034482758623,0.055172413793103454,0.055172413793103454,0.1517241379310345,0.13793103448275865,0.06896551724137932,0.055172413793103454,0.17931034482758623,0.17931034482758623,0.12413793103448277,0.13793103448275865,0.23448275862068968,0.22068965517241382,0.09655172413793105,0.11034482758620691,0.17931034482758623,0.16551724137931037,0.16551724137931037,0.24827586206896554,0.13793103448275865,0.20689655172413796,0.055172413793103454,0.04137931034482759,0.13793103448275865,0.13793103448275865,0.1931034482758621,0.17931034482758623,0.11034482758620691,0.055172413793103454,0.13793103448275865,0.13793103448275865,0.09655172413793105,0.09655172413793105,0.06896551724137932,0.11034482758620691,0.13793103448275865,0.06896551724137932,0.13793103448275865,0.08275862068965519,0.09655172413793105,0.06896551724137932,0.08275862068965519,0.12413793103448277
sub-RID0309,0.20689655172413796,0.13793103448275865,0.24827586206896554,0.24827586206896554,0.20689655172413796,0.22068965517241382,0.12413793103448277,0.1517241379310345,0.13793103448275865,0.1517241379310345,0.09655172413793105,0.11034482758620691,0.11034482758620691,0.08275862068965519,0.12413793103448277,0.13793103448275865,0.09655172413793105,0.09655172413793105,0.09655172413793105,0.11034482758620691,0.08275862068965519,0.11034482758620691,0.12413793103448277,0.13793103448275865,0.12413793103448277,0.09655172413793105,0.09655172413793105,0.09655172413793105,0.055172413793103454,0.09655172413793105,0.027586206896551727,0.055172413793103454,0.12413793103448277,0.13793103448275865,0.13793103448275865,0.12413793103448277,0.08275862068965519,0.09655172413793105,0.11034482758620691,0.12413793103448277,0.12413793103448277,0.13793103448275865,0.11034482758620691,0.09655172413793105,0.08275862068965519,0.12413793103448277,0.13793103448275865,0.13793103448275865,0.12413793103448277,0.12413793103448277,0.11034482758620691,0.09655172413793105,0.12413793103448277,0.17931034482758623,0.1517241379310345,0.09655172413793105,0.08275862068965519,0.08275862068965519,0.16551724137931037,0.1931034482758621,0.1517241379310345,0.16551724137931037,0.13793103448275865,0.1931034482758621,0.20689655172413796,0.1931034482758621,0.11034482758620691,0.1931034482758621,0.13793103448275865,0.12413793103448277,0.1517241379310345,0.1517241379310345,0.055172413793103454,0.04137931034482759,0.06896551724137932,0.09655172413793105,0.16551724137931037,0.17931034482758623,0.08275862068965519,0.06896551724137932,0.11034482758620691,0.11034482758620691,0.08275862068965519,0.11034482758620691,0.16551724137931037,0.17931034482758623,0.11034482758620691,0.12413793103448277,0.23448275862068968,0.1931034482758621,0.11034482758620691,0.09655172413793105,0.20689655172413796,0.22068965517241382,0.1931034482758621,0.17931034482758623,0.12413793103448277,0.17931034482758623,0.06896551724137932,0.04137931034482759,0.1517241379310345,0.1517241379310345,0.12413793103448277,0.16551724137931037,0.1517241379310345,0.08275862068965519,0.16551724137931037,0.16551724137931037,0.09655172413793105,0.09655172413793105,0.08275862068965519,0.13793103448275865,0.1517241379310345,0.06896551724137932,0.13793103448275865,0.09655172413793105,0.09655172413793105,0.06896551724137932,0.06896551724137932,0.11034482758620691
sub-RID0037,0.1931034482758621,0.1517241379310345,0.23448275862068968,0.24827586206896554,0.20689655172413796,0.1931034482758621,0.12413793103448277,0.1517241379310345,0.12413793103448277,0.1517241379310345,0.11034482758620691,0.11034482758620691,0.16551724137931037,0.1931034482758621,0.13793103448275865,0.1517241379310345,0.09655172413793105,0.11034482758620691,0.12413793103448277,0.12413793103448277,0.08275862068965519,0.11034482758620691,0.12413793103448277,0.12413793103448277,0.12413793103448277,0.09655172413793105,0.11034482758620691,0.09655172413793105,0.06896551724137932,0.055172413793103454,0.027586206896551727,0.055172413793103454,0.12413793103448277,0.11034482758620691,0.12413793103448277,0.13793103448275865,0.08275862068965519,0.11034482758620691,0.11034482758620691,0.12413793103448277,0.12413793103448277,0.13793103448275865,0.09655172413793105,0.12413793103448277,0.06896551724137932,0.11034482758620691,0.11034482758620691,0.13793103448275865,0.11034482758620691,0.12413793103448277,0.11034482758620691,0.12413793103448277,0.16551724137931037,0.12413793103448277,0.17931034482758623,0.11034482758620691,0.055172413793103454,0.055172413793103454,0.13793103448275865,0.17931034482758623,0.1517241379310345,0.17931034482758623,0.17931034482758623,0.12413793103448277,0.22068965517241382,0.22068965517241382,0.1517241379310345,0.16551724137931037,0.12413793103448277,0.23448275862068968,0.1931034482758621,0.13793103448275865,0.12413793103448277,0.08275862068965519,0.06896551724137932,0.08275862068965519,0.12413793103448277,0.1931034482758621,0.06896551724137932,0.055172413793103454,0.12413793103448277,0.12413793103448277,0.06896551724137932,0.12413793103448277,0.16551724137931037,0.22068965517241382,0.11034482758620691,0.12413793103448277,0.23448275862068968,0.13793103448275865,0.09655172413793105,0.11034482758620691,0.17931034482758623,0.20689655172413796,0.20689655172413796,0.16551724137931037,0.09655172413793105,0.16551724137931037,0.055172413793103454,0.04137931034482759,0.12413793103448277,0.12413793103448277,0.16551724137931037,0.1931034482758621,0.13793103448275865,0.08275862068965519,0.16551724137931037,0.20689655172413796,0.08275862068965519,0.09655172413793105,0.08275862068965519,0.055172413793103454,0.1517241379310345,0.06896551724137932,0.13793103448275865,0.11034482758620691,0.06896551724137932,0.08275862068965519,0.055172413793103454,0.11034482758620691
sub-RID0046,0.16551724137931037,0.1517241379310345,0.24827586206896554,0.2620689655172414,0.17931034482758623,0.17931034482758623,0.13793103448275865,0.12413793103448277,0.1517241379310345,0.17931034482758623,0.1517241379310345,0.12413793103448277,0.13793103448275865,0.1517241379310345,0.12413793103448277,0.12413793103448277,0.06896551724137932,0.09655172413793105,0.12413793103448277,0.11034482758620691,0.06896551724137932,0.12413793103448277,0.13793103448275865,0.12413793103448277,0.1517241379310345,0.06896551724137932,0.12413793103448277,0.055172413793103454,0.09655172413793105,0.08275862068965519,0.055172413793103454,0.027586206896551727,0.1517241379310345,0.12413793103448277,0.11034482758620691,0.13793103448275865,0.06896551724137932,0.12413793103448277,0.13793103448275865,0.13793103448275865,0.09655172413793105,0.1517241379310345,0.09655172413793105,0.13793103448275865,0.06896551724137932,0.08275862068965519,0.13793103448275865,0.1517241379310345,0.12413793103448277,0.17931034482758623,0.11034482758620691,0.11034482758620691,0.13793103448275865,0.16551724137931037,0.17931034482758623,0.13793103448275865,0.08275862068965519,0.04137931034482759,0.16551724137931037,0.13793103448275865,0.22068965517241382,0.1931034482758621,0.17931034482758623,0.12413793103448277,0.20689655172413796,0.1931034482758621,0.16551724137931037,0.1931034482758621,0.11034482758620691,0.12413793103448277,0.1517241379310345,0.13793103448275865,0.09655172413793105,0.09655172413793105,0.11034482758620691,0.12413793103448277,0.1931034482758621,0.17931034482758623,0.06896551724137932,0.06896551724137932,0.1517241379310345,0.12413793103448277,0.06896551724137932,0.08275862068965519,0.20689655172413796,0.1931034482758621,0.09655172413793105,0.12413793103448277,0.23448275862068968,0.1931034482758621,0.013793103448275864,0.027586206896551727,0.17931034482758623,0.1931034482758621,0.16551724137931037,0.12413793103448277,0.1517241379310345,0.1517241379310345,0.06896551724137932,0.04137931034482759,0.13793103448275865,0.12413793103448277,0.1517241379310345,0.1517241379310345,0.11034482758620691,0.08275862068965519,0.1517241379310345,0.17931034482758623,0.06896551724137932,0.11034482758620691,0.055172413793103454,0.09655172413793105,0.12413793103448277,0.08275862068965519,0.13793103448275865,0.09655172413793105,0.13793103448275865,0.12413793103448277,0.06896551724137932,0.09655172413793105
sub-RID0089,0.20689655172413796,0.16551724137931037,0.22068965517241382,0.24827586206896554,0.22068965517241382,0.20689655172413796,0.13793103448275865,0.11034482758620691,0.16551724137931037,0.13793103448275865,0.12413793103448277,0.11034482758620691,0.06896551724137932,0.08275862068965519,0.11034482758620691,0.11034482758620691,0.09655172413793105,0.08275862068965519,0.09655172413793105,0.11034482758620691,0.055172413793103454,0.11034482758620691,0.12413793103448277,0.13793103448275865,0.09655172413793105,0.13793103448275865,0.09655172413793105,0.12413793103448277,0.08275862068965519,0.06896551724137932,0.06896551724137932,0.055172413793103454,0.1517241379310345,0.12413793103448277,0.12413793103448277,0.1517241379310345,0.06896551724137932,0.11034482758620691,0.09655172413793105,0.09655172413793105,0.09655172413793105,0.13793103448275865,0.09655172413793105,0.09655172413793105,0.04137931034482759,0.09655172413793105,0.09655172413793105,0.13793103448275865,0.08275862068965519,0.13793103448275865,0.09655172413793105,0.09655172413793105,0.11034482758620691,0.17931034482758623,0.1517241379310345,0.1517241379310345,0.055172413793103454,0.06896551724137932,0.11034482758620691,0.1517241379310345,0.22068965517241382,0.16551724137931037,0.13793103448275865,0.1931034482758621,0.20689655172413796,0.16551724137931037,0.09655172413793105,0.16551724137931037,0.1517241379310345,0.16551724137931037,0.13793103448275865,0.12413793103448277,0.11034482758620691,0.09655172413793105,0.09655172413793105,0.08275862068965519,0.16551724137931037,0.1517241379310345,0.11034482758620691,0.055172413793103454,0.12413793103448277,0.12413793103448277,0.08275862068965519,0.11034482758620691,0.1517241379310345,0.16551724137931037,0.12413793103448277,0.11034482758620691,0.17931034482758623,0.1517241379310345,0.12413793103448277,0.13793103448275865,0.12413793103448277,0.16551724137931037,0.17931034482758623,0.13793103448275865,0.11034482758620691,0.17931034482758623,0.08275862068965519,0.04137931034482759,0.13793103448275865,0.13793103448275865,0.13793103448275865,0.1517241379310345,0.12413793103448277,0.08275862068965519,0.13793103448275865,0.17931034482758623,0.06896551724137932,0.08275862068965519,0.08275862068965519,0.06896551724137932,0.12413793103448277,0.06896551724137932,0.1517241379310345,0.09655172413793105,0.09655172413793105,0.08275862068965519,0.06896551724137932,0.12413793103448277
sub-RID0121,0.16551724137931037,0.20689655172413796,0.23448275862068968,0.2896551724137931,0.16551724137931037,0.20689655172413796,0.13793103448275865,0.13793103448275865,0.13793103448275865,0.13793103448275865,0.13793103448275865,0.12413793103448277,0.12413793103448277,0.09655172413793105,0.13793103448275865,0.13793103448275865,0.08275862068965519,0.09655172413793105,0.12413793103448277,0.13793103448275865,0.06896551724137932,0.09655172413793105,0.12413793103448277,0.16551724137931037,0.13793103448275865,0.12413793103448277,0.13793103448275865,0.11034482758620691,0.06896551724137932,0.12413793103448277,0.055172413793103454,0.055172413793103454,0.12413793103448277,0.12413793103448277,0.11034482758620691,0.12413793103448277,0.06896551724137932,0.06896551724137932,0.11034482758620691,0.11034482758620691,0.11034482758620691,0.16551724137931037,0.08275862068965519,0.11034482758620691,0.06896551724137932,0.13793103448275865,0.11034482758620691,0.12413793103448277,0.13793103448275865,0.17931034482758623,0.11034482758620691,0.1517241379310345,0.1517241379310345,0.20689655172413796,0.16551724137931037,0.1517241379310345,0.08275862068965519,0.04137931034482759,0.12413793103448277,0.16551724137931037,0.17931034482758623,0.24827586206896554,0.09655172413793105,0.16551724137931037,0.1931034482758621,0.23448275862068968,0.1517241379310345,0.23448275862068968,0.17931034482758623,0.13793103448275865,0.1517241379310345,0.16551724137931037,0.09655172413793105,0.09655172413793105,0.13793103448275865,0.11034482758620691,0.1931034482758621,0.17931034482758623,0.11034482758620691,0.06896551724137932,0.13793103448275865,0.12413793103448277,0.055172413793103454,0.08275862068965519,0.1931034482758621,0.16551724137931037,0.06896551724137932,0.16551724137931037,0.23448275862068968,0.22068965517241382,0.027586206896551727,0.04137931034482759,0.20689655172413796,0.22068965517241382,0.17931034482758623,0.13793103448275865,0.16551724137931037,0.1931034482758621,0.06896551724137932,0.06896551724137932,0.13793103448275865,0.12413793103448277,0.16551724137931037,0.16551724137931037,0.13793103448275865,0.09655172413793105,0.1931034482758621,0.20689655172413796,0.11034482758620691,0.11034482758620691,0.06896551724137932,0.11034482758620691,0.11034482758620691,0.06896551724137932,0.12413793103448277,0.08275862068965519,0.11034482758620691,0.08275862068965519,0.13793103448275865,0.13793103448275865
sub-RID0190,0.13793103448275865,0.13793103448275865,0.23448275862068968,0.23448275862068968,0.23448275862068968,0.20689655172413796,0.13793103448275865,0.1517241379310345,0.13793103448275865,0.1517241379310345,0.11034482758620691,0.11034482758620691,0.09655172413793105,0.1517241379310345,0.09655172413793105,0.09655172413793105,0.09655172413793105,0.11034482758620691,0.08275862068965519,0.11034482758620691,0.06896551724137932,0.12413793103448277,0.13793103448275865,0.12413793103448277,0.13793103448275865,0.11034482758620691,0.11034482758620691,0.08275862068965519,0.11034482758620691,0.08275862068965519,0.06896551724137932,0.06896551724137932,0.13793103448275865,0.13793103448275865,0.1517241379310345,0.12413793103448277,0.08275862068965519,0.09655172413793105,0.08275862068965519,0.08275862068965519,0.11034482758620691,0.12413793103448277,0.08275862068965519,0.09655172413793105,0.11034482758620691,0.12413793103448277,0.13793103448275865,0.13793103448275865,0.11034482758620691,0.1517241379310345,0.16551724137931037,0.11034482758620691,0.11034482758620691,0.1517241379310345,0.1517241379310345,0.11034482758620691,0.11034482758620691,0.09655172413793105,0.16551724137931037,0.1931034482758621,0.1517241379310345,0.1931034482758621,0.1517241379310345,0.13793103448275865,0.13793103448275865,0.20689655172413796,0.13793103448275865,0.20689655172413796,0.13793103448275865,0.20689655172413796,0.16551724137931037,0.1931034482758621,0.06896551724137932,0.08275862068965519,0.08275862068965519,0.11034482758620691,0.20689655172413796,0.17931034482758623,0.11034482758620691,0.08275862068965519,0.11034482758620691,0.13793103448275865,0.06896551724137932,0.08275862068965519,0.20689655172413796,0.1517241379310345,0.13793103448275865,0.12413793103448277,0.23448275862068968,0.20689655172413796,0.12413793103448277,0.16551724137931037,0.1517241379310345,0.1931034482758621,0.13793103448275865,0.17931034482758623,0.12413793103448277,0.17931034482758623,0.055172413793103454,0.055172413793103454,0.13793103448275865,0.13793103448275865,0.13793103448275865,0.17931034482758623,0.12413793103448277,0.08275862068965519,0.1931034482758621,0.17931034482758623,0.11034482758620691,0.08275862068965519,0.09655172413793105,0.08275862068965519,0.11034482758620691,0.06896551724137932,0.11034482758620691,0.11034482758620691,0.11034482758620691,0.09655172413793105,0.12413793103448277,0.12413793103448277
sub-RID0288,0.1517241379310345,0.16551724137931037,0.2620689655172414,0.22068965517241382,0.17931034482758623,0.20689655172413796,0.1517241379310345,0.13793103448275865,0.1517241379310345,0.13793103448275865,0.12413793103448277,0.11034482758620691,0.17931034482758623,0.1931034482758621,0.11034482758620691,0.09655172413793105,0.06896551724137932,0.11034482758620691,0.11034482758620691,0.11034482758620691,0.09655172413793105,0.08275862068965519,0.12413793103448277,0.13793103448275865,0.12413793103448277,0.09655172413793105,0.09655172413793105,0.11034482758620691,0.08275862068965519,0.06896551724137932,0.06896551724137932,0.04137931034482759,0.12413793103448277,0.12413793103448277,0.13793103448275865,0.12413793103448277,0.08275862068965519,0.08275862068965519,0.11034482758620691,0.11034482758620691,0.11034482758620691,0.13793103448275865,0.11034482758620691,0.11034482758620691,0.09655172413793105,0.11034482758620691,0.12413793103448277,0.12413793103448277,0.13793103448275865,0.1517241379310345,0.11034482758620691,0.09655172413793105,0.12413793103448277,0.16551724137931037,0.1931034482758621,0.1517241379310345,0.08275862068965519,0.06896551724137932,0.13793103448275865,0.17931034482758623,0.1931034482758621,0.20689655172413796,0.17931034482758623,0.16551724137931037,0.24827586206896554,0.1931034482758621,0.16551724137931037,0.22068965517241382,0.11034482758620691,0.20689655172413796,0.16551724137931037,0.1517241379310345,0.09655172413793105,0.055172413793103454,0.12413793103448277,0.12413793103448277,0.16551724137931037,0.17931034482758623,0.06896551724137932,0.055172413793103454,0.16551724137931037,0.1517241379310345,0.08275862068965519,0.09655172413793105,0.20689655172413796,0.23448275862068968,0.13793103448275865,0.13793103448275865,0.24827586206896554,0.23448275862068968,0.12413793103448277,0.09655172413793105,0.24827586206896554,0.23448275862068968,0.16551724137931037,0.1517241379310345,0.12413793103448277,0.17931034482758623,0.055172413793103454,0.06896551724137932,0.16551724137931037,0.1517241379310345,0.1517241379310345,0.16551724137931037,0.1517241379310345,0.09655172413793105,0.13793103448275865,0.17931034482758623,0.06896551724137932,0.06896551724137932,0.08275862068965519,0.09655172413793105,0.12413793103448277,0.055172413793103454,0.1517241379310345,0.08275862068965519,0.12413793103448277,0.08275862068965519,0.11034482758620691,0.12413793103448277
sub-RID0194,0.17931034482758623,0.16551724137931037,0.2758620689655173,0.16551724137931037,0.20689655172413796,0.09655172413793105,0.13793103448275865,0.11034482758620691,0.13793103448275865,0.013793103448275864,0.09655172413793105,0.055172413793103454,0.12413793103448277,0.17931034482758623,0.09655172413793105,0.06896551724137932,0.11034482758620691,0.12413793103448277,0.12413793103448277,0.055172413793103454,0.08275862068965519,0.12413793103448277,0.1517241379310345,0.11034482758620691,0.12413793103448277,0.09655172413793105,0.055172413793103454,0.027586206896551727,0.08275862068965519,0.04137931034482759,0.04137931034482759,0.013793103448275864,0.13793103448275865,0.12413793103448277,0.1517241379310345,0.08275862068965519,0.08275862068965519,0.08275862068965519,0.13793103448275865,0.12413793103448277,0.13793103448275865,0.12413793103448277,0.09655172413793105,0.12413793103448277,0.09655172413793105,0.06896551724137932,0.12413793103448277,0.1517241379310345,0.12413793103448277,0.1517241379310345,0.12413793103448277,0.11034482758620691,0.1517241379310345,0.12413793103448277,0.13793103448275865,0.08275862068965519,0.09655172413793105,0.055172413793103454,0.13793103448275865,0.16551724137931037,0.16551724137931037,0.16551724137931037,0.12413793103448277,0.17931034482758623,0.22068965517241382,0.17931034482758623,0.17931034482758623,0.24827586206896554,0.12413793103448277,0.24827586206896554,0.17931034482758623,0.16551724137931037,0.055172413793103454,0.06896551724137932,0.09655172413793105,0.08275862068965519,0.1517241379310345,0.1517241379310345,0.04137931034482759,0.09655172413793105,0.1517241379310345,0.13793103448275865,0.055172413793103454,0.09655172413793105,0.1931034482758621,0.22068965517241382,0.13793103448275865,0.16551724137931037,0.20689655172413796,0.20689655172413796,0.08275862068965519,0.11034482758620691,0.22068965517241382,0.24827586206896554,0.23448275862068968,0.22068965517241382,0.13793103448275865,0.1931034482758621,0.06896551724137932,0.06896551724137932,0.11034482758620691,0.11034482758620691,0.17931034482758623,0.1931034482758621,0.13793103448275865,0.04137931034482759,0.11034482758620691,0.11034482758620691,0.12413793103448277,0.08275862068965519,0.09655172413793105,0.08275862068965519,0.12413793103448277,0.08275862068965519,0.11034482758620691,0.09655172413793105,0.11034482758620691,0.08275862068965519,0.11034482758620691,0.08275862068965519
sub-RID0289,0.17931034482758623,0.13793103448275865,0.24827586206896554,0.2620689655172414,0.20689655172413796,0.22068965517241382,0.1517241379310345,0.13793103448275865,0.16551724137931037,0.13793103448275865,0.09655172413793105,0.11034482758620691,0.13793103448275865,0.13793103448275865,0.12413793103448277,0.12413793103448277,0.09655172413793105,0.11034482758620691,0.09655172413793105,0.11034482758620691,0.08275862068965519,0.08275862068965519,0.16551724137931037,0.1517241379310345,0.09655172413793105,0.09655172413793105,0.055172413793103454,0.08275862068965519,0.09655172413793105,0.08275862068965519,0.055172413793103454,0.027586206896551727,0.11034482758620691,0.12413793103448277,0.13793103448275865,0.1517241379310345,0.08275862068965519,0.08275862068965519,0.13793103448275865,0.11034482758620691,0.11034482758620691,0.12413793103448277,0.11034482758620691,0.11034482758620691,0.08275862068965519,0.12413793103448277,0.11034482758620691,0.1517241379310345,0.11034482758620691,0.1517241379310345,0.09655172413793105,0.09655172413793105,0.1517241379310345,0.1517241379310345,0.17931034482758623,0.13793103448275865,0.08275862068965519,0.08275862068965519,0.11034482758620691,0.1931034482758621,0.17931034482758623,0.17931034482758623,0.20689655172413796,0.16551724137931037,0.16551724137931037,0.20689655172413796,0.12413793103448277,0.20689655172413796,0.1517241379310345,0.20689655172413796,0.16551724137931037,0.1517241379310345,0.09655172413793105,0.06896551724137932,0.09655172413793105,0.09655172413793105,0.1517241379310345,0.17931034482758623,0.06896551724137932,0.055172413793103454,0.12413793103448277,0.11034482758620691,0.06896551724137932,0.09655172413793105,0.16551724137931037,0.24827586206896554,0.11034482758620691,0.12413793103448277,0.22068965517241382,0.17931034482758623,0.11034482758620691,0.09655172413793105,0.16551724137931037,0.1931034482758621,0.1931034482758621,0.1931034482758621,0.12413793103448277,0.1931034482758621,0.06896551724137932,0.06896551724137932,0.16551724137931037,0.16551724137931037,0.1931034482758621,0.22068965517241382,0.17931034482758623,0.11034482758620691,0.20689655172413796,0.17931034482758623,0.09655172413793105,0.12413793103448277,0.08275862068965519,0.09655172413793105,0.13793103448275865,0.055172413793103454,0.13793103448275865,0.09655172413793105,0.08275862068965519,0.06896551724137932,0.06896551724137932,0.13793103448275865
