"HarvardOxford-cort-NONSYMMETRIC-maxprob-thr25-1mm","This is the cortical only version, reprocessed for non-symmetry"
"region","label"
1,"Right Frontal Pole"
2,"Right Insular Cortex"
3,"Right Superior Frontal Gyrus"
4,"Right Middle Frontal Gyrus"
5,"IRight nferior Frontal Gyrus, pars triangularis"
6,"IRight nferior Frontal Gyrus, pars opercularis"
7,"Right Precentral Gyrus"
8,"Right Temporal Pole"
9,"Right Superior Temporal Gyrus, anterior division"
10,"Right Superior Temporal Gyrus, posterior division"
11,"Right Middle Temporal Gyrus, anterior division"
12,"Right Middle Temporal Gyrus, posterior division"
13,"Right Middle Temporal Gyrus, temporooccipital part"
14,"Right Inferior Temporal Gyrus, anterior division"
15,"Right Inferior Temporal Gyrus, posterior division"
16,"Right Inferior Temporal Gyrus, temporooccipital part"
17,"Right Postcentral Gyrus"
18,"Right Superior Parietal Lobule"
19,"Right Supramarginal Gyrus, anterior division"
20,"Right Supramarginal Gyrus, posterior division"
21,"Right Angular Gyrus"
22,"Right Lateral Occipital Cortex, superior division"
23,"Right Lateral Occipital Cortex, inferior division"
24,"Right Intracalcarine Cortex"
25,"Right Frontal Medial Cortex"
26,"Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"
27,"Right Subcallosal Cortex"
28,"Right Paracingulate Gyrus"
29,"Right Cingulate Gyrus, anterior division"
30,"Right Cingulate Gyrus, posterior division"
31,"Right Precuneous Cortex"
32,"Right Cuneal Cortex"
33,"Right Frontal Orbital Cortex"
34,"Right Parahippocampal Gyrus, anterior division"
35,"Right Parahippocampal Gyrus, posterior division"
36,"Right Lingual Gyrus"
37,"Right Temporal Fusiform Cortex, anterior division"
38,"Right Temporal Fusiform Cortex, posterior division"
39,"Right Temporal Occipital Fusiform Cortex"
40,"Right Occipital Fusiform Gyrus"
41,"Right Frontal Operculum Cortex"
42,"Right Central Opercular Cortex"
43,"Right Parietal Operculum Cortex"
44,"Right Planum Polare"
45,"Right Heschl's Gyrus (includes H1 and H2)"
46,"Right Planum Temporale"
47,"Right Supracalcarine Cortex"
48,"Right Occipital Pole"
101,"Left Frontal Pole"
102,"Left Insular Cortex"
103,"Left Superior Frontal Gyrus"
104,"Left Middle Frontal Gyrus"
105,"Left Inferior Frontal Gyrus, pars triangularis"
106,"Left Inferior Frontal Gyrus, pars opercularis"
107,"Left Precentral Gyrus"
108,"Left Temporal Pole"
109,"Left Superior Temporal Gyrus, anterior division"
110,"Left Superior Temporal Gyrus, posterior division"
111,"Left Middle Temporal Gyrus, anterior division"
112,"Left Middle Temporal Gyrus, posterior division"
113,"Left Middle Temporal Gyrus, temporooccipital part"
114,"Left Inferior Temporal Gyrus, anterior division"
115,"Left Inferior Temporal Gyrus, posterior division"
116,"Left Inferior Temporal Gyrus, temporooccipital part"
117,"Left Postcentral Gyrus"
118,"Left Superior Parietal Lobule"
119,"Left Supramarginal Gyrus, anterior division"
120,"Left Supramarginal Gyrus, posterior division"
121,"Left Angular Gyrus"
122,"Left Lateral Occipital Cortex, superior division"
123,"Left Lateral Occipital Cortex, inferior division"
124,"Left Intracalcarine Cortex"
125,"Left Frontal Medial Cortex"
126,"Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"
127,"Left Subcallosal Cortex"
128,"Left Paracingulate Gyrus"
129,"Left Cingulate Gyrus, anterior division"
130,"Left Cingulate Gyrus, posterior division"
131,"Left Precuneous Cortex"
132,"Left Cuneal Cortex"
133,"Left Frontal Orbital Cortex"
134,"Left Parahippocampal Gyrus, anterior division"
135,"Left Parahippocampal Gyrus, posterior division"
136,"Left Lingual Gyrus"
137,"Left Temporal Fusiform Cortex, anterior division"
138,"Left Temporal Fusiform Cortex, posterior division"
139,"Left Temporal Occipital Fusiform Cortex"
140,"Left Occipital Fusiform Gyrus"
141,"Left Frontal Operculum Cortex"
142,"Left Central Opercular Cortex"
143,"Left Parietal Operculum Cortex"
144,"Left Planum Polare"
145,"Left Heschl's Gyrus (includes H1 and H2)"
146,"Left Planum Temporale"
147,"Left Supracalcarine Cortex"
148,"Left Occipital Pole"
