"Schaefer2018_100Parcels_7Networks_order_FSLMNI152_1mm","Schaefer7_100"
"region","label"
1,"7Networks_LH_Vis_1"
2,"7Networks_LH_Vis_2"
3,"7Networks_LH_Vis_3"
4,"7Networks_LH_Vis_4"
5,"7Networks_LH_Vis_5"
6,"7Networks_LH_Vis_6"
7,"7Networks_LH_Vis_7"
8,"7Networks_LH_Vis_8"
9,"7Networks_LH_Vis_9"
10,"7Networks_LH_SomMot_1"
11,"7Networks_LH_SomMot_2"
12,"7Networks_LH_SomMot_3"
13,"7Networks_LH_SomMot_4"
14,"7Networks_LH_SomMot_5"
15,"7Networks_LH_SomMot_6"
16,"7Networks_LH_DorsAttn_Post_1"
17,"7Networks_LH_DorsAttn_Post_2"
18,"7Networks_LH_DorsAttn_Post_3"
19,"7Networks_LH_DorsAttn_Post_4"
20,"7Networks_LH_DorsAttn_Post_5"
21,"7Networks_LH_DorsAttn_Post_6"
22,"7Networks_LH_DorsAttn_PrCv_1"
23,"7Networks_LH_DorsAttn_FEF_1"
24,"7Networks_LH_SalVentAttn_ParOper_1"
25,"7Networks_LH_SalVentAttn_FrOperIns_1"
26,"7Networks_LH_SalVentAttn_FrOperIns_2"
27,"7Networks_LH_SalVentAttn_PFCl_1"
28,"7Networks_LH_SalVentAttn_Med_1"
29,"7Networks_LH_SalVentAttn_Med_2"
30,"7Networks_LH_SalVentAttn_Med_3"
31,"7Networks_LH_Limbic_OFC_1"
32,"7Networks_LH_Limbic_TempPole_1"
33,"7Networks_LH_Limbic_TempPole_2"
34,"7Networks_LH_Cont_Par_1"
35,"7Networks_LH_Cont_PFCl_1"
36,"7Networks_LH_Cont_pCun_1"
37,"7Networks_LH_Cont_Cing_1"
38,"7Networks_LH_Default_Temp_1"
39,"7Networks_LH_Default_Temp_2"
40,"7Networks_LH_Default_Par_1"
41,"7Networks_LH_Default_Par_2"
42,"7Networks_LH_Default_PFC_1"
43,"7Networks_LH_Default_PFC_2"
44,"7Networks_LH_Default_PFC_3"
45,"7Networks_LH_Default_PFC_4"
46,"7Networks_LH_Default_PFC_5"
47,"7Networks_LH_Default_PFC_6"
48,"7Networks_LH_Default_PFC_7"
49,"7Networks_LH_Default_pCunPCC_1"
50,"7Networks_LH_Default_pCunPCC_2"
51,"7Networks_RH_Vis_1"
52,"7Networks_RH_Vis_2"
53,"7Networks_RH_Vis_3"
54,"7Networks_RH_Vis_4"
55,"7Networks_RH_Vis_5"
56,"7Networks_RH_Vis_6"
57,"7Networks_RH_Vis_7"
58,"7Networks_RH_Vis_8"
59,"7Networks_RH_SomMot_1"
60,"7Networks_RH_SomMot_2"
61,"7Networks_RH_SomMot_3"
62,"7Networks_RH_SomMot_4"
63,"7Networks_RH_SomMot_5"
64,"7Networks_RH_SomMot_6"
65,"7Networks_RH_SomMot_7"
66,"7Networks_RH_SomMot_8"
67,"7Networks_RH_DorsAttn_Post_1"
68,"7Networks_RH_DorsAttn_Post_2"
69,"7Networks_RH_DorsAttn_Post_3"
70,"7Networks_RH_DorsAttn_Post_4"
71,"7Networks_RH_DorsAttn_Post_5"
72,"7Networks_RH_DorsAttn_PrCv_1"
73,"7Networks_RH_DorsAttn_FEF_1"
74,"7Networks_RH_SalVentAttn_TempOccPar_1"
75,"7Networks_RH_SalVentAttn_TempOccPar_2"
76,"7Networks_RH_SalVentAttn_FrOperIns_1"
77,"7Networks_RH_SalVentAttn_Med_1"
78,"7Networks_RH_SalVentAttn_Med_2"
79,"7Networks_RH_Limbic_OFC_1"
80,"7Networks_RH_Limbic_TempPole_1"
81,"7Networks_RH_Cont_Par_1"
82,"7Networks_RH_Cont_Par_2"
83,"7Networks_RH_Cont_PFCl_1"
84,"7Networks_RH_Cont_PFCl_2"
85,"7Networks_RH_Cont_PFCl_3"
86,"7Networks_RH_Cont_PFCl_4"
87,"7Networks_RH_Cont_Cing_1"
88,"7Networks_RH_Cont_PFCmp_1"
89,"7Networks_RH_Cont_pCun_1"
90,"7Networks_RH_Default_Par_1"
91,"7Networks_RH_Default_Temp_1"
92,"7Networks_RH_Default_Temp_2"
93,"7Networks_RH_Default_Temp_3"
94,"7Networks_RH_Default_PFCv_1"
95,"7Networks_RH_Default_PFCv_2"
96,"7Networks_RH_Default_PFCdPFCm_1"
97,"7Networks_RH_Default_PFCdPFCm_2"
98,"7Networks_RH_Default_PFCdPFCm_3"
99,"7Networks_RH_Default_pCunPCC_1"
100,"7Networks_RH_Default_pCunPCC_2"
