aseg,From Freesurfer aseg atlas. Taken from FreeSurferColorLUT.txt file
region,label
0,Unknown
1,Left-Cerebral-Exterior
2,Left-Cerebral-White-Matter
3,Left-Cerebral-Cortex
4,Left-Lateral-Ventricle
5,Left-Inf-Lat-Vent
6,Left-Cerebellum-Exterior
7,Left-Cerebellum-White-Matter
8,Left-Cerebellum-Cortex
9,Left-Thalamus-unused
10,Left-Thalamus
11,Left-Caudate
12,Left-Putamen
13,Left-Pallidum
14,3rd-Ventricle
15,4th-Ventricle
16,Brain-Stem
17,Left-Hippocampus
18,Left-Amygdala
19,Left-Insula
20,Left-Operculum
21,Line-1
22,Line-2
23,Line-3
24,CSF
25,Left-Lesion
26,Left-Accumbens-area
27,Left-Substancia-Nigra
28,Left-VentralDC
29,Left-undetermined
30,Left-vessel
31,Left-choroid-plexus
32,Left-F3orb
33,Left-lOg
34,Left-aOg
35,Left-mOg
36,Left-pOg
37,Left-Stellate
38,Left-Porg
39,Left-Aorg
40,Right-Cerebral-Exterior
41,Right-Cerebral-White-Matter
42,Right-Cerebral-Cortex
43,Right-Lateral-Ventricle
44,Right-Inf-Lat-Vent
45,Right-Cerebellum-Exterior
46,Right-Cerebellum-White-Matter
47,Right-Cerebellum-Cortex
48,Right-Thalamus-unused
49,Right-Thalamus
50,Right-Caudate
51,Right-Putamen
52,Right-Pallidum
53,Right-Hippocampus
54,Right-Amygdala
55,Right-Insula
56,Right-Operculum
57,Right-Lesion
58,Right-Accumbens-area
59,Right-Substancia-Nigra
60,Right-VentralDC
61,Right-undetermined
62,Right-vessel
63,Right-choroid-plexus
64,Right-F3orb
65,Right-lOg
66,Right-aOg
67,Right-mOg
68,Right-pOg
69,Right-Stellate
70,Right-Porg
71,Right-Aorg
72,5th-Ventricle
73,Left-Interior
74,Right-Interior
77,WM-hypointensities
78,Left-WM-hypointensities
79,Right-WM-hypointensities
80,non-WM-hypointensities
81,Left-non-WM-hypointensities
82,Right-non-WM-hypointensities
83,Left-F1
84,Right-F1
85,Optic-Chiasm
192,Corpus_Callosum
86,Left_future_WMSA
87,Right_future_WMSA
88,future_WMSA
96,Left-Amygdala-Anterior
97,Right-Amygdala-Anterior
98,Dura
99,Lesion
251,CC_Posterior
252,CC_Mid_Posterior
253,CC_Central
254,CC_Mid_Anterior
255,CC_Anterior
1000,ctx-lh-unknown
1001,ctx-lh-bankssts
1002,ctx-lh-caudalanteriorcingulate
1003,ctx-lh-caudalmiddlefrontal
1004,ctx-lh-corpuscallosum
1005,ctx-lh-cuneus
1006,ctx-lh-entorhinal
1007,ctx-lh-fusiform
1008,ctx-lh-inferiorparietal
1009,ctx-lh-inferiortemporal
1010,ctx-lh-isthmuscingulate
1011,ctx-lh-lateraloccipital
1012,ctx-lh-lateralorbitofrontal
1013,ctx-lh-lingual
1014,ctx-lh-medialorbitofrontal
1015,ctx-lh-middletemporal
1016,ctx-lh-parahippocampal
1017,ctx-lh-paracentral
1018,ctx-lh-parsopercularis
1019,ctx-lh-parsorbitalis
1020,ctx-lh-parstriangularis
1021,ctx-lh-pericalcarine
1022,ctx-lh-postcentral
1023,ctx-lh-posteriorcingulate
1024,ctx-lh-precentral
1025,ctx-lh-precuneus
1026,ctx-lh-rostralanteriorcingulate
1027,ctx-lh-rostralmiddlefrontal
1028,ctx-lh-superiorfrontal
1029,ctx-lh-superiorparietal
1030,ctx-lh-superiortemporal
1031,ctx-lh-supramarginal
1032,ctx-lh-frontalpole
1033,ctx-lh-temporalpole
1034,ctx-lh-transversetemporal
1035,ctx-lh-insula
2000,ctx-rh-unknown
2001,ctx-rh-bankssts
2002,ctx-rh-caudalanteriorcingulate
2003,ctx-rh-caudalmiddlefrontal
2004,ctx-rh-corpuscallosum
2005,ctx-rh-cuneus
2006,ctx-rh-entorhinal
2007,ctx-rh-fusiform
2008,ctx-rh-inferiorparietal
2009,ctx-rh-inferiortemporal
2010,ctx-rh-isthmuscingulate
2011,ctx-rh-lateraloccipital
2012,ctx-rh-lateralorbitofrontal
2013,ctx-rh-lingual
2014,ctx-rh-medialorbitofrontal
2015,ctx-rh-middletemporal
2016,ctx-rh-parahippocampal
2017,ctx-rh-paracentral
2018,ctx-rh-parsopercularis
2019,ctx-rh-parsorbitalis
2020,ctx-rh-parstriangularis
2021,ctx-rh-pericalcarine
2022,ctx-rh-postcentral
2023,ctx-rh-posteriorcingulate
2024,ctx-rh-precentral
2025,ctx-rh-precuneus
2026,ctx-rh-rostralanteriorcingulate
2027,ctx-rh-rostralmiddlefrontal
2028,ctx-rh-superiorfrontal
2029,ctx-rh-superiorparietal
2030,ctx-rh-superiortemporal
2031,ctx-rh-supramarginal
2032,ctx-rh-frontalpole
2033,ctx-rh-temporalpole
2034,ctx-rh-transversetemporal
2035,ctx-rh-insula
3000,wm-lh-unknown
3001,wm-lh-bankssts
3002,wm-lh-caudalanteriorcingulate
3003,wm-lh-caudalmiddlefrontal
3004,wm-lh-corpuscallosum
3005,wm-lh-cuneus
3006,wm-lh-entorhinal
3007,wm-lh-fusiform
3008,wm-lh-inferiorparietal
3009,wm-lh-inferiortemporal
3010,wm-lh-isthmuscingulate
3011,wm-lh-lateraloccipital
3012,wm-lh-lateralorbitofrontal
3013,wm-lh-lingual
3014,wm-lh-medialorbitofrontal
3015,wm-lh-middletemporal
3016,wm-lh-parahippocampal
3017,wm-lh-paracentral
3018,wm-lh-parsopercularis
3019,wm-lh-parsorbitalis
3020,wm-lh-parstriangularis
3021,wm-lh-pericalcarine
3022,wm-lh-postcentral
3023,wm-lh-posteriorcingulate
3024,wm-lh-precentral
3025,wm-lh-precuneus
3026,wm-lh-rostralanteriorcingulate
3027,wm-lh-rostralmiddlefrontal
3028,wm-lh-superiorfrontal
3029,wm-lh-superiorparietal
3030,wm-lh-superiortemporal
3031,wm-lh-supramarginal
3032,wm-lh-frontalpole
3033,wm-lh-temporalpole
3034,wm-lh-transversetemporal
3035,wm-lh-insula
4000,wm-rh-unknown
4001,wm-rh-bankssts
4002,wm-rh-caudalanteriorcingulate
4003,wm-rh-caudalmiddlefrontal
4004,wm-rh-corpuscallosum
4005,wm-rh-cuneus
4006,wm-rh-entorhinal
4007,wm-rh-fusiform
4008,wm-rh-inferiorparietal
4009,wm-rh-inferiortemporal
4010,wm-rh-isthmuscingulate
4011,wm-rh-lateraloccipital
4012,wm-rh-lateralorbitofrontal
4013,wm-rh-lingual
4014,wm-rh-medialorbitofrontal
4015,wm-rh-middletemporal
4016,wm-rh-parahippocampal
4017,wm-rh-paracentral
4018,wm-rh-parsopercularis
4019,wm-rh-parsorbitalis
4020,wm-rh-parstriangularis
4021,wm-rh-pericalcarine
4022,wm-rh-postcentral
4023,wm-rh-posteriorcingulate
4024,wm-rh-precentral
4025,wm-rh-precuneus
4026,wm-rh-rostralanteriorcingulate
4027,wm-rh-rostralmiddlefrontal
4028,wm-rh-superiorfrontal
4029,wm-rh-superiorparietal
4030,wm-rh-superiortemporal
4031,wm-rh-supramarginal
4032,wm-rh-frontalpole
4033,wm-rh-temporalpole
4034,wm-rh-transversetemporal
4035,wm-rh-insula
1301,ctx-lh-frontal-lobe
1303,ctx-lh-cingulate-lobe
1304,ctx-lh-occipital-lobe
1305,ctx-lh-temporal-lobe
1306,ctx-lh-parietal-lobe
1307,ctx-lh-insula-lobe
2301,ctx-rh-frontal-lobe
2303,ctx-rh-cingulate-lobe
2304,ctx-rh-occipital-lobe
2305,ctx-rh-temporal-lobe
2306,ctx-rh-parietal-lobe
2307,ctx-rh-insula-lobe
3201,wm-lh-frontal-lobe
3203,wm-lh-cingulate-lobe
3204,wm-lh-occipital-lobe
3205,wm-lh-temporal-lobe
3206,wm-lh-parietal-lobe
3207,wm-lh-insula-lobe
4201,wm-rh-frontal-lobe
4203,wm-rh-cingulate-lobe
4204,wm-rh-occipital-lobe
4205,wm-rh-temporal-lobe
4206,wm-rh-parietal-lobe
4207,wm-rh-insula-lobe
11100,ctx_lh_Unknown
11101,ctx_lh_G_and_S_frontomargin
11102,ctx_lh_G_and_S_occipital_inf
11103,ctx_lh_G_and_S_paracentral
11104,ctx_lh_G_and_S_subcentral
11105,ctx_lh_G_and_S_transv_frontopol
11106,ctx_lh_G_and_S_cingul-Ant
11107,ctx_lh_G_and_S_cingul-Mid-Ant
11108,ctx_lh_G_and_S_cingul-Mid-Post
11109,ctx_lh_G_cingul-Post-dorsal
11110,ctx_lh_G_cingul-Post-ventral
11111,ctx_lh_G_cuneus
11112,ctx_lh_G_front_inf-Opercular
11113,ctx_lh_G_front_inf-Orbital
11114,ctx_lh_G_front_inf-Triangul
11115,ctx_lh_G_front_middle
11116,ctx_lh_G_front_sup
11117,ctx_lh_G_Ins_lg_and_S_cent_ins
11118,ctx_lh_G_insular_short
11119,ctx_lh_G_occipital_middle
11120,ctx_lh_G_occipital_sup
11121,ctx_lh_G_oc-temp_lat-fusifor
11122,ctx_lh_G_oc-temp_med-Lingual
11123,ctx_lh_G_oc-temp_med-Parahip
11124,ctx_lh_G_orbital
11125,ctx_lh_G_pariet_inf-Angular
11126,ctx_lh_G_pariet_inf-Supramar
11127,ctx_lh_G_parietal_sup
11128,ctx_lh_G_postcentral
11129,ctx_lh_G_precentral
11130,ctx_lh_G_precuneus
11131,ctx_lh_G_rectus
11132,ctx_lh_G_subcallosal
11133,ctx_lh_G_temp_sup-G_T_transv
11134,ctx_lh_G_temp_sup-Lateral
11135,ctx_lh_G_temp_sup-Plan_polar
11136,ctx_lh_G_temp_sup-Plan_tempo
11137,ctx_lh_G_temporal_inf
11138,ctx_lh_G_temporal_middle
11139,ctx_lh_Lat_Fis-ant-Horizont
11140,ctx_lh_Lat_Fis-ant-Vertical
11141,ctx_lh_Lat_Fis-post
11142,ctx_lh_Medial_wall
11143,ctx_lh_Pole_occipital
11144,ctx_lh_Pole_temporal
11145,ctx_lh_S_calcarine
11146,ctx_lh_S_central
11147,ctx_lh_S_cingul-Marginalis
