"Gordon_Petersen_2016_MNI","https://sites.wustl.edu/petersenschlaggarlab/ https://academic.oup.com/cercor/article/26/1/288/2367115"
"region","label"
1,"L_Default"
2,"L_SMhand"
3,"L_SMmouth"
4,"L_Default"
5,"L_Visual"
6,"L_Default"
7,"L_FrontoParietal"
8,"L_Visual"
9,"L_FrontoParietal"
10,"L_Auditory"
11,"L_None"
12,"L_CinguloParietal"
13,"L_RetrosplenialTemporal"
14,"L_RetrosplenialTemporal"
15,"L_Visual"
16,"L_Visual"
17,"L_Visual"
18,"L_None"
19,"L_None"
20,"L_Visual"
21,"L_CinguloOperc"
22,"L_CinguloOperc"
23,"L_VentralAttn"
24,"L_FrontoParietal"
25,"L_Default"
26,"L_Default"
27,"L_CinguloOperc"
28,"L_CinguloOperc"
29,"L_Salience"
30,"L_SMhand"
31,"L_SMhand"
32,"L_SMhand"
33,"L_SMhand"
34,"L_CinguloOperc"
35,"L_SMhand"
36,"L_SMhand"
37,"L_SMhand"
38,"L_SMhand"
39,"L_SMmouth"
40,"L_CinguloOperc"
41,"L_DorsalAttn"
42,"L_DorsalAttn"
43,"L_DorsalAttn"
44,"L_Default"
45,"L_SMhand"
46,"L_SMhand"
47,"L_SMhand"
48,"L_SMhand"
49,"L_DorsalAttn"
50,"L_SMhand"
51,"L_DorsalAttn"
52,"L_DorsalAttn"
53,"L_SMmouth"
54,"L_SMhand"
55,"L_DorsalAttn"
56,"L_SMhand"
57,"L_SMhand"
58,"L_SMhand"
59,"L_SMmouth"
60,"L_VentralAttn"
61,"L_VentralAttn"
62,"L_VentralAttn"
63,"L_CinguloOperc"
64,"L_Auditory"
65,"L_Auditory"
66,"L_Auditory"
67,"L_Auditory"
68,"L_Auditory"
69,"L_Auditory"
70,"L_Auditory"
71,"L_CinguloOperc"
72,"L_CinguloOperc"
73,"L_None"
74,"L_DorsalAttn"
75,"L_VentralAttn"
76,"L_CinguloOperc"
77,"L_Auditory"
78,"L_FrontoParietal"
79,"L_VentralAttn"
80,"L_VentralAttn"
