"Schaefer2018_300Parcels_7Networks_order_FSLMNI152_1mm","Schaefer7_300"
"region","label"
1,"7Networks_LH_Vis_1"
2,"7Networks_LH_Vis_2"
3,"7Networks_LH_Vis_3"
4,"7Networks_LH_Vis_4"
5,"7Networks_LH_Vis_5"
6,"7Networks_LH_Vis_6"
7,"7Networks_LH_Vis_7"
8,"7Networks_LH_Vis_8"
9,"7Networks_LH_Vis_9"
10,"7Networks_LH_Vis_10"
11,"7Networks_LH_Vis_11"
12,"7Networks_LH_Vis_12"
13,"7Networks_LH_Vis_13"
14,"7Networks_LH_Vis_14"
15,"7Networks_LH_Vis_15"
16,"7Networks_LH_Vis_16"
17,"7Networks_LH_Vis_17"
18,"7Networks_LH_Vis_18"
19,"7Networks_LH_Vis_19"
20,"7Networks_LH_Vis_20"
21,"7Networks_LH_Vis_21"
22,"7Networks_LH_Vis_22"
23,"7Networks_LH_Vis_23"
24,"7Networks_LH_Vis_24"
25,"7Networks_LH_SomMot_1"
26,"7Networks_LH_SomMot_2"
27,"7Networks_LH_SomMot_3"
28,"7Networks_LH_SomMot_4"
29,"7Networks_LH_SomMot_5"
30,"7Networks_LH_SomMot_6"
31,"7Networks_LH_SomMot_7"
32,"7Networks_LH_SomMot_8"
33,"7Networks_LH_SomMot_9"
34,"7Networks_LH_SomMot_10"
35,"7Networks_LH_SomMot_11"
36,"7Networks_LH_SomMot_12"
37,"7Networks_LH_SomMot_13"
38,"7Networks_LH_SomMot_14"
39,"7Networks_LH_SomMot_15"
40,"7Networks_LH_SomMot_16"
41,"7Networks_LH_SomMot_17"
42,"7Networks_LH_SomMot_18"
43,"7Networks_LH_SomMot_19"
44,"7Networks_LH_SomMot_20"
45,"7Networks_LH_SomMot_21"
46,"7Networks_LH_SomMot_22"
47,"7Networks_LH_SomMot_23"
48,"7Networks_LH_SomMot_24"
49,"7Networks_LH_SomMot_25"
50,"7Networks_LH_SomMot_26"
51,"7Networks_LH_SomMot_27"
52,"7Networks_LH_SomMot_28"
53,"7Networks_LH_SomMot_29"
54,"7Networks_LH_DorsAttn_Post_1"
55,"7Networks_LH_DorsAttn_Post_2"
56,"7Networks_LH_DorsAttn_Post_3"
57,"7Networks_LH_DorsAttn_Post_4"
58,"7Networks_LH_DorsAttn_Post_5"
59,"7Networks_LH_DorsAttn_Post_6"
60,"7Networks_LH_DorsAttn_Post_7"
61,"7Networks_LH_DorsAttn_Post_8"
62,"7Networks_LH_DorsAttn_Post_9"
63,"7Networks_LH_DorsAttn_Post_10"
64,"7Networks_LH_DorsAttn_Post_11"
65,"7Networks_LH_DorsAttn_Post_12"
66,"7Networks_LH_DorsAttn_FEF_1"
67,"7Networks_LH_DorsAttn_FEF_2"
68,"7Networks_LH_DorsAttn_FEF_3"
69,"7Networks_LH_DorsAttn_PrCv_1"
70,"7Networks_LH_SalVentAttn_ParOper_1"
71,"7Networks_LH_SalVentAttn_ParOper_2"
72,"7Networks_LH_SalVentAttn_ParOper_3"
73,"7Networks_LH_SalVentAttn_TempOcc_1"
