"mni_icbm152_CerebrA_tal_nlin_sym_09c","https://www.nature.com/articles/s41597-020-0557-9"
"region","label"
30,"Right Caudal Anterior Cingulate"
42,"Right Caudal Middle Frontal"
43,"Right Cuneus"
36,"Right Entorhinal"
24,"Right Fusiform"
10,"Right Inferior Parietal"
3,"Right Inferior temporal"
33,"Right Isthmus Cingulate"
34,"Right Lateral Occipital"
7,"Right Lateral Orbitofrontal"
12,"Right Lingual"
15,"Right Medial Orbitofrontal"
28,"Right Middle Temporal"
18,"Right Parahippocampal"
16,"Right Paracentral"
32,"Right Pars Opercularis"
44,"Right Pars Orbitalis"
22,"Right Pars Triangularis"
6,"Right Pericalcarine"
13,"Right Postcentral"
47,"Right Posterior Cingulate"
35,"Right Precentral"
31,"Right Precuneus"
8,"Right Rostral Anterior Cingulate"
1,"Right Rostral Middle Frontal"
38,"Right Superior Frontal"
9,"Right Superior Parietal"
45,"Right Superior Temporal"
51,"Right Supramarginal"
14,"Right Transverse Temporal"
23,"Right Insula"
11,"Right Brainstem"
29,"Right Third Ventricle"
37,"Right Fourth Ventricle"
17,"Right Optic Chiasm"
41,"Right Lateral Ventricle"
5,"Right Inferior Lateral Ventricle"
46,"Right Cerebellum Gray Matter"
39,"Right Cerebellum White Matter"
40,"Right Thalamus"
49,"Right Caudate"
21,"Right Putamen"
27,"Right Pallidum"
48,"Right Hippocampus"
19,"Right Amygdala"
4,"Right Accumbens Area"
26,"Right Ventral Diencephalon"
25,"Right Basal Forebrain"
50,"Right Vermal lobules I-V"
2,"Right Vermal lobules VI-VII"
20,"Right Vermal lobules VIII-X"
81,"Left Caudal Anterior Cingulate"
93,"Left Caudal Middle Frontal"
94,"Left Cuneus"
87,"Left Entorhinal"
75,"Left Fusiform"
61,"Left Inferior Parietal"
54,"Left Inferior temporal"
84,"Left Isthmus Cingulate"
85,"Left Lateral Occipital"
58,"Left Lateral Orbitofrontal"
63,"Left Lingual"
66,"Left Medial Orbitofrontal"
79,"Left Middle Temporal"
69,"Left Parahippocampal"
67,"Left Paracentral"
83,"Left Pars Opercularis"
95,"Left Pars Orbitalis"
73,"Left Pars Triangularis"
57,"Left Pericalcarine"
64,"Left Postcentral"
98,"Left Posterior Cingulate"
86,"Left Precentral"
82,"Left Precuneus"
59,"Left Rostral Anterior Cingulate"
52,"Left Rostral Middle Frontal"
89,"Left Superior Frontal"
60,"Left Superior Parietal"
96,"Left Superior Temporal"
102,"Left Supramarginal"
65,"Left Transverse Temporal"
74,"Left Insula"
62,"Left Brainstem"
80,"Left Third Ventricle"
88,"Left Fourth Ventricle"
68,"Left Optic Chiasm"
92,"Left Lateral Ventricle"
56,"Left Inferior Lateral Ventricle"
97,"Left Cerebellum Gray Matter"
90,"Left Cerebellum White Matter"
91,"Left Thalamus"
100,"Left Caudate"
72,"Left Putamen"
78,"Left Pallidum"
99,"Left Hippocampus"
70,"Left Amygdala"
55,"Left Accumbens Area"
77,"Left Ventral Diencephalon"
76,"Left Basal Forebrain"
101,"Left Vermal lobules I-V"
53,"Left Vermal lobules VI-VII"
71,"Left Vermal lobules VIII-X"
