nom_c	nom_l	color	vol_vox	vol_mm3	xv	yv	zv	xmm	ymm	zmm
G_Frontal_Sup-1-L	G_Frontal_Sup-1-L	1	139	1112	53	96	43	-15.9856115107914	64.9352517985612	13.0791366906475
G_Frontal_Sup-1-R	G_Frontal_Sup-1-R	2	25	200	39	97	42	12.88	67.68	10.64
G_Frontal_Sup-2-L	G_Frontal_Sup-2-L	3	1072	8576	51	87	57	-11.919776119403	46.5018656716418	40.4832089552239
G_Frontal_Sup-2-R	G_Frontal_Sup-2-R	4	1113	8904	39	86	57	12.0449236298293	45.5849056603774	40.7008086253369
G_Frontal_Sup-3-L	G_Frontal_Sup-3-L	5	57	456	55	72	67	-19.7894736842105	16.2105263157895	61.4385964912281
G_Frontal_Sup-3-R	G_Frontal_Sup-3-R	6	91	728	36	72	66	19.3406593406593	17.2307692307692	59.7582417582418
S_Sup_Frontal-1-L	S_Sup_Frontal-1-L	7	267	2136	57	94	32	-22.0224719101124	61.4831460674157	-8.24719101123596
S_Sup_Frontal-1-R	S_Sup_Frontal-1-R	8	620	4960	35	95	34	20.2483870967742	62.7354838709678	-5.59354838709677
S_Sup_Frontal-2-L	S_Sup_Frontal-2-L	9	783	6264	59	91	37	-27.2234993614304	55.6219667943806	1.35632183908046
S_Sup_Frontal-2-R	S_Sup_Frontal-2-R	10	604	4832	31	92	40	28.2384105960265	56.4139072847682	7.21523178807946
S_Sup_Frontal-3-L	S_Sup_Frontal-3-L	11	635	5080	58	85	51	-25.5433070866142	43.0110236220472	29.007874015748
S_Sup_Frontal-3-R	S_Sup_Frontal-3-R	12	655	5240	33	86	51	24.8854961832061	45.0687022900763	29.0106870229008
S_Sup_Frontal-4-L	S_Sup_Frontal-4-L	13	896	7168	57	78	60	-23.03125	29.0625	47.0111607142857
S_Sup_Frontal-4-R	S_Sup_Frontal-4-R	14	387	3096	36	81	60	19.9793281653747	35.5038759689922	47.6744186046512
S_Sup_Frontal-5-L	S_Sup_Frontal-5-L	15	552	4416	59	69	64	-27.1485507246377	10.7608695652174	55.536231884058
S_Sup_Frontal-5-R	S_Sup_Frontal-5-R	16	1024	8192	32	72	63	27.2265625	16.767578125	52.072265625
